 Maintaining 16 concurrent writes of 4096 bytes for up to 300 seconds or 0 objects
 Object prefix: benchmark_data_aa3eaa203d62_461
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   280      16    155070    155054    2.1629         0         - 0.0283143
   281      16    155070    155054   2.15521         0         - 0.0283143
   282      16    155070    155054   2.14756         0         - 0.0283143
   283      16    155070    155054   2.13998         0         - 0.0283143
   284      16    155070    155054   2.13244         0         - 0.0283143
   285      16    155070    155054   2.12496         0         - 0.0283143
   286      16    155070    155054   2.11753         0         - 0.0283143
   287      16    155070    155054   2.11015         0         - 0.0283143
   288      16    155070    155054   2.10282         0         - 0.0283143
   289      16    155386    155370   2.09982 0.0881696  0.003347 0.0297559
   290      16    155868    155852   2.09907   1.88281  0.003087  0.029745
   291      16    155923    155907    2.0926  0.214844  0.001905 0.0297727
   292      16    156186    156170   2.08895   1.02734  0.033726 0.0298768
   293      16    156418    156402   2.08491   0.90625  0.006596 0.0299709
   294      16    156656    156640   2.08098  0.929688  0.002025 0.0300128
   295      16    156698    156682   2.07448  0.164062  0.002756 0.0300246
   296      16    156698    156682   2.06747         0         - 0.0300246
   297      16    156698    156682   2.06051         0         - 0.0300246
   298      16    156698    156682    2.0536         0         - 0.0300246
   299      16    156746    156730   2.04736  0.046875  0.001699    0.0303
2014-11-25 13:43:08.870840min lat: 0.001498 max lat: 65.5564 avg lat: 0.0302991
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   300      16    156759    156743    2.0407 0.0507812  0.002487 0.0302991
   301      16    156759    156743   2.03392         0         - 0.0302991
   302      16    156759    156743   2.02719         0         - 0.0302991
   303      16    156759    156743    2.0205         0         - 0.0302991
   304      16    156759    156743   2.01385         0         - 0.0302991
   305      16    156759    156743   2.00725         0         - 0.0302991
 Total time run:         305.450183
Total writes made:      156760
Write size:             4096
Bandwidth (MB/sec):     2.005 

Stddev Bandwidth:       2.53081
Max bandwidth (MB/sec): 8.82031
Min bandwidth (MB/sec): 0
Average Latency:        0.0311745
Stddev Latency:         0.601476
Max latency:            65.5564
Min latency:            0.001498
